dataset,cutoff_A,jitter_sigma_A_per_axis,mean_pct,std_pct
astex,6,0,90.58823529411764,1.7404671430534633e-14
astex,6,1,86.27450980392156,2.449018822901332
astex,6,2,71.76470588235294,7.058823529411768
astex,8,0,96.07843137254902,0.6792356108113302
astex,8,1,92.94117647058823,1.17647058823529
astex,8,2,81.96078431372548,5.803391602724992
astex,10,0,96.4705882352941,1.176470588235297
astex,10,1,95.68627450980391,0.6792356108113302
astex,10,2,85.09803921568628,4.4540457614119795
astex,12,0,97.25490196078431,1.7970885078258272
astex,12,1,96.07843137254902,0.6792356108113302
astex,12,2,85.88235294117648,5.1281164041655005
posebusters,6,0,86.03896103896103,0.9740259740259702
posebusters,6,1,80.41125541125541,1.9837990021453842
posebusters,6,2,64.17748917748918,0.8170816488388256
posebusters,8,0,94.26406926406928,0.4959497505363403
posebusters,8,1,90.47619047619048,1.0436851472936053
posebusters,8,2,77.59740259740259,2.1290384819162345
posebusters,10,0,94.58874458874459,0.1874513861005285
posebusters,10,1,92.20779220779222,1.1247083166031708
posebusters,10,2,80.41125541125541,2.836654203913672
posebusters,12,0,95.34632034632034,0.6758655842422532
posebusters,12,1,93.29004329004329,1.0436851472936053
posebusters,12,2,81.06060606060606,2.7228886635084613
