dataset,cutoff_A,jitter_sigma_A_per_axis,metric,mean_pct,std_pct
astex,6,0,selected_rmsd_lt2,79.2156862745098,2.9607193863806898
astex,6,0,joint_rmsd_lt2_pb_valid,76.07843137254902,3.5941770156516406
astex,6,1,selected_rmsd_lt2,76.07843137254902,0.679235610811322
astex,6,1,joint_rmsd_lt2_pb_valid,72.94117647058823,0.0
astex,6,2,selected_rmsd_lt2,67.05882352941177,3.529411764705884
astex,6,2,joint_rmsd_lt2_pb_valid,63.13725490196078,3.7818238278403733
astex,8,0,selected_rmsd_lt2,81.9607843137255,1.797088507825821
astex,8,0,joint_rmsd_lt2_pb_valid,78.43137254901961,1.797088507825821
astex,8,1,selected_rmsd_lt2,80.0,5.882352941176464
astex,8,1,joint_rmsd_lt2_pb_valid,76.86274509803921,5.9214387727613715
astex,8,2,selected_rmsd_lt2,71.37254901960785,6.037178164055158
astex,8,2,joint_rmsd_lt2_pb_valid,69.01960784313725,4.898037645802664
astex,10,0,selected_rmsd_lt2,82.3529411764706,1.176470588235297
astex,10,0,joint_rmsd_lt2_pb_valid,78.0392156862745,1.797088507825821
astex,10,1,selected_rmsd_lt2,81.17647058823529,2.352941176470587
astex,10,1,joint_rmsd_lt2_pb_valid,77.6470588235294,2.352941176470587
astex,10,2,selected_rmsd_lt2,74.11764705882354,5.882352941176471
astex,10,2,joint_rmsd_lt2_pb_valid,70.19607843137254,5.559783089708953
astex,12,0,selected_rmsd_lt2,82.74509803921569,1.7970885078258194
astex,12,0,joint_rmsd_lt2_pb_valid,78.0392156862745,2.960719386380683
astex,12,1,selected_rmsd_lt2,80.3921568627451,4.4540457614119795
astex,12,1,joint_rmsd_lt2_pb_valid,77.25490196078431,4.898037645802664
astex,12,2,selected_rmsd_lt2,76.86274509803921,6.479494761513062
astex,12,2,joint_rmsd_lt2_pb_valid,72.54901960784314,5.803391602725001
astex,14,0,selected_rmsd_lt2,84.31372549019608,1.7970885078258132
astex,14,0,joint_rmsd_lt2_pb_valid,80.3921568627451,1.358471221622644
astex,14,1,selected_rmsd_lt2,79.2156862745098,3.396178054056618
astex,14,1,joint_rmsd_lt2_pb_valid,75.68627450980392,4.454045761411977
astex,14,2,selected_rmsd_lt2,74.90196078431373,5.803391602724997
astex,14,2,joint_rmsd_lt2_pb_valid,70.98039215686275,4.454045761411985
posebusters,6,0,selected_rmsd_lt2,76.73160173160173,1.6015853449078699
posebusters,6,0,joint_rmsd_lt2_pb_valid,72.94372294372295,1.7881722556123687
posebusters,6,1,selected_rmsd_lt2,70.77922077922078,1.1706335309948057
posebusters,6,1,joint_rmsd_lt2_pb_valid,67.74891774891775,1.3517311684845006
posebusters,6,2,selected_rmsd_lt2,59.1991341991342,0.6758655842422492
posebusters,6,2,joint_rmsd_lt2_pb_valid,55.84415584415584,0.649350649350648
posebusters,8,0,selected_rmsd_lt2,81.92640692640693,0.18745138610052847
posebusters,8,0,joint_rmsd_lt2_pb_valid,78.35497835497836,0.37490277220105694
posebusters,8,1,selected_rmsd_lt2,78.78787878787878,0.18745138610052847
posebusters,8,1,joint_rmsd_lt2_pb_valid,75.21645021645021,0.37490277220105694
posebusters,8,2,selected_rmsd_lt2,66.66666666666667,2.0873702945872186
posebusters,8,2,joint_rmsd_lt2_pb_valid,63.31168831168831,2.5357953493203387
posebusters,10,0,selected_rmsd_lt2,82.68398268398268,0.18745138610052847
posebusters,10,0,joint_rmsd_lt2_pb_valid,78.8961038961039,0.9740259740259773
posebusters,10,1,selected_rmsd_lt2,79.76190476190476,1.6661043634567863
posebusters,10,1,joint_rmsd_lt2_pb_valid,75.54112554112554,0.8170816488388285
posebusters,10,2,selected_rmsd_lt2,68.72294372294373,1.6015853449078699
posebusters,10,2,joint_rmsd_lt2_pb_valid,65.58441558441558,2.0275967527267516
posebusters,12,0,selected_rmsd_lt2,83.54978354978356,0.991899501072696
posebusters,12,0,joint_rmsd_lt2_pb_valid,79.97835497835499,0.8170816488388285
posebusters,12,1,selected_rmsd_lt2,79.87012987012987,2.7740271900381615
posebusters,12,1,joint_rmsd_lt2_pb_valid,76.08225108225108,1.7881722556123696
posebusters,12,2,selected_rmsd_lt2,69.91341991341992,2.2100192485565104
posebusters,12,2,joint_rmsd_lt2_pb_valid,66.23376623376623,1.7180203318601297
posebusters,14,0,selected_rmsd_lt2,82.79220779220779,0.5623541583015854
posebusters,14,0,joint_rmsd_lt2_pb_valid,79.11255411255411,1.140222267624759
posebusters,14,1,selected_rmsd_lt2,80.1948051948052,1.7180203318601242
posebusters,14,1,joint_rmsd_lt2_pb_valid,76.4069264069264,1.4640421275398985
posebusters,14,2,selected_rmsd_lt2,69.6969696969697,2.161794843662142
posebusters,14,2,joint_rmsd_lt2_pb_valid,66.45021645021644,3.2683265953553
astex,6,0,top5_rmsd_lt2,88.62745098039215,2.4490188229013374
posebusters,6,0,top5_rmsd_lt2,84.95670995670996,2.0873702945872186
astex,6,1,top5_rmsd_lt2,85.09803921568627,1.797088507825821
posebusters,6,1,top5_rmsd_lt2,80.62770562770562,2.393219089555842
astex,6,2,top5_rmsd_lt2,77.25490196078431,2.960719386380682
posebusters,6,2,top5_rmsd_lt2,69.37229437229436,0.6758655842422532
astex,8,0,top5_rmsd_lt2,90.98039215686275,2.9607193863806898
posebusters,8,0,top5_rmsd_lt2,90.15151515151514,0.495949750536348
astex,8,1,top5_rmsd_lt2,89.41176470588235,1.176470588235297
posebusters,8,1,top5_rmsd_lt2,86.36363636363636,1.1706335309947997
astex,8,2,top5_rmsd_lt2,82.74509803921569,6.47949476151306
posebusters,8,2,top5_rmsd_lt2,74.8917748917749,2.76133134679071
astex,10,0,top5_rmsd_lt2,92.54901960784314,1.7970885078258194
posebusters,10,0,top5_rmsd_lt2,89.5021645021645,0.817081648838821
astex,10,1,top5_rmsd_lt2,90.58823529411765,1.176470588235297
posebusters,10,1,top5_rmsd_lt2,88.09523809523809,1.4640421275398985
astex,10,2,top5_rmsd_lt2,83.52941176470588,2.352941176470587
posebusters,10,2,top5_rmsd_lt2,79.11255411255412,2.303441196297918
astex,12,0,top5_rmsd_lt2,92.54901960784314,4.131628922687348
posebusters,12,0,top5_rmsd_lt2,90.15151515151514,0.6758655842422532
astex,12,1,top5_rmsd_lt2,92.15686274509804,0.679235610811322
posebusters,12,1,top5_rmsd_lt2,88.52813852813853,0.495949750536348
astex,12,2,top5_rmsd_lt2,84.31372549019608,3.5941770156516406
posebusters,12,2,top5_rmsd_lt2,79.22077922077922,0.8590101659300649
astex,14,0,top5_rmsd_lt2,92.94117647058823,3.112648601252465
posebusters,14,0,top5_rmsd_lt2,89.93506493506493,1.1706335309947997
astex,14,1,top5_rmsd_lt2,91.76470588235294,2.037706832433974
posebusters,14,1,top5_rmsd_lt2,87.66233766233766,0.9740259740259773
astex,14,2,top5_rmsd_lt2,84.31372549019608,4.454045761411977
posebusters,14,2,top5_rmsd_lt2,78.24675324675324,0.6493506493506516
