dataset,cutoff_A,jitter_sigma_A_per_axis,metric,mean_pct,std_pct
posebusters,12,0,posebusters_valid,93.72294372294373,0.3749027722010488
posebusters,12,0,joint_rmsd_lt2_pb_valid,79.97835497835499,0.8170816488388285
posebusters,12,0,oracle_rmsd_lt2,95.12987012987013,0.3246753246753258
posebusters,12,1,selected_rmsd_lt2,79.87012987012987,2.7740271900381615
posebusters,12,1,posebusters_valid,93.61471861471861,0.6758655842422452
posebusters,12,1,joint_rmsd_lt2_pb_valid,76.08225108225108,1.7881722556123696
posebusters,12,1,oracle_rmsd_lt2,93.72294372294373,0.3749027722010488
posebusters,12,2,selected_rmsd_lt2,69.91341991341992,2.2100192485565104
posebusters,12,2,posebusters_valid,92.20779220779221,0.6493506493506516
posebusters,12,2,joint_rmsd_lt2_pb_valid,66.23376623376623,1.7180203318601297
posebusters,12,2,oracle_rmsd_lt2,83.98268398268398,1.0436851472936135
