arm,dataset,complexes_per_repeat,repeats,pipeline_mean_s,pipeline_repeat_sd_s,refinement_mean_s,confidence_both_banks_mean_s,refinement_compute_mean_s,confidence_forward_both_mean_s,sampling_allocator_peak_gib,sampling_reserved_peak_gib,devices,poses_per_complex,confidence_pose_evaluations_per_complex,pipeline_amortized_s_per_generated_pose,pipeline_amortized_repeat_sd_s_per_generated_pose,refinement_amortized_s_per_pose,confidence_amortized_s_per_pose_evaluation,minimization_amortized_s_per_pose,confidence_forward_amortized_s_per_pose_evaluation
guided_n40_s25,astex,85,3,58.809407064075096,0.7138658754850326,30.19512582763838,6.718036149839834,28.857398313671517,2.8892091580356163,4.702664375305176,15.544921875,NVIDIA RTX 6000 Ada Generation,40,80,1.4702351766018773,0.017846646887125815,0.7548781456909595,0.08397545187299793,0.7214349578417879,0.0361151144754452
guided_n40_s25,posebusters,308,3,58.75326502584399,0.4988395283930113,30.200085308213225,6.851436501404032,28.831665126326556,2.9088281488061294,6.540070533752441,19.1640625,NVIDIA RTX 6000 Ada Generation,40,80,1.4688316256460996,0.012470988209825283,0.7550021327053307,0.08564295626755039,0.7207916281581639,0.03636035186007662
temporal_n100_s10,foldbench,558,3,103.92476421809982,0.34572481772744607,70.87604217268563,9.723012127391456,68.71278426993531,5.5034799200443265,17.093671321868896,46.689453125,NVIDIA RTX 6000 Ada Generation,100,200,1.0392476421809982,0.0034572481772744607,0.7087604217268563,0.04861506063695728,0.6871278426993531,0.027517399600221634
temporal_n100_s10,openbind,925,3,107.24775779793147,1.7703458915352726,75.01051729647905,9.8572122697103,72.70097435181901,5.448878155347644,11.79841947555542,46.52734375,NVIDIA H100 PCIe; NVIDIA RTX 6000 Ada Generation,100,200,1.0724775779793148,0.017703458915352726,0.7501051729647905,0.049286061348551506,0.7270097435181901,0.02724439077673822
temporal_n100_s10,phibench,206,3,115.80103984625049,11.606042259724077,74.26320436746539,12.465500148804924,72.23015613127508,8.280639602534967,17.333988189697266,46.703125,NVIDIA RTX 6000 Ada Generation,100,200,1.158010398462505,0.11606042259724077,0.742632043674654,0.06232750074402462,0.7223015613127508,0.041403198012674836
unguided_n100_s10,astex,85,3,103.91453519431879,0.36884370549562123,73.25874824920058,9.574856259861924,71.86680480556849,5.818250295031798,11.886327743530273,36.4453125,NVIDIA RTX 6000 Ada Generation,100,200,1.039145351943188,0.0036884370549562125,0.7325874824920058,0.04787428129930962,0.718668048055685,0.02909125147515899
unguided_n100_s10,posebusters,308,3,103.67037539044999,1.0232616276097957,72.94787887677968,9.859003074474426,71.33082592455295,5.9132020640328955,16.711042881011963,46.6640625,NVIDIA RTX 6000 Ada Generation,100,200,1.0367037539044999,0.010232616276097957,0.7294787887677968,0.04929501537237213,0.7133082592455295,0.02956601032016448
unguided_n40_s25,astex,85,3,56.35438087774925,0.19151522830198384,29.339315801564897,6.491631592487387,28.256545231401848,2.8352284113716735,4.694972991943359,15.51953125,NVIDIA RTX 6000 Ada Generation,40,80,1.4088595219437312,0.004787880707549596,0.7334828950391225,0.08114539490609234,0.7064136307850462,0.03544035514214592
unguided_n40_s25,posebusters,308,3,56.75278439541341,0.3394042033240293,29.696910054201297,6.725048440191048,28.27074846306849,2.890303028458102,6.532015323638916,19.134765625,NVIDIA RTX 6000 Ada Generation,40,80,1.4188196098853352,0.008485105083100733,0.7424227513550324,0.0840631055023881,0.7067687115767123,0.03612878785572628
